gene,Erastin AUC to expression,RSL3 AUC to expression,FIN56 AUC to expression,Erastin AUC to Depscore,RSL3 AUC to Depscore,FIN56 AUC to Depscore
E4F1,0.47708627313917296,0.6303608890065134,0.556157194473597,0.39979110935180545,0.5433191464796614,0.5631309165207261
DNASE1L2,0.7867397351443539,0.7251081984377249,0.5087832268531517,0.0020957326580576946,0.19218825045841292,0.2102404624396673
ECI1,0.5338206098976465,0.69452585974104,0.6218891856330152,0.4940335925423641,0.587881129183317,0.4108389157423576
CASKIN1,0.31393847903522165,0.36078849707703464,0.5075373283707414,-0.282994908208551,-0.008199247230177844,-0.07871411800871765
ABCA3,0.49509785913354853,0.6375524047053586,0.5514780021359114,-0.04028599694580906,0.43639886870851885,0.477858346761532
KCTD5,0.2042952922130289,-0.013474506838918076,-0.12312711429340738,-0.36459126969419664,-0.49722042643773906,-0.2859541098355463
SRRM2,0.4229338298195428,0.5573503207172374,0.3918645707141603,0.5121797300492485,0.4203980442545145,0.4439194521400281
ZNF597,0.18079214384281672,0.1603958415236541,0.06537263178257614,0.13835732845987622,0.2222613844358876,0.2095206350146612
NLRC3,0.04375247277907334,0.31145997122805946,0.27378712942872885,NA,NA,NA
SDHAF2,0.45181921372243256,0.41155387238720637,0.20465325402391066,-0.4900307364201051,-0.09023768155743692,-0.012957462962093817
DDB1,0.1812998677506282,0.3734678738124795,0.2902445309822864,0.19724582626161405,0.32170026408513397,0.11825700864607835
VPS37C,0.5414812255323199,0.8044467446301802,0.6638050320031034,-0.035055690057759964,0.03881905180712116,0.29146256452803637
VWCE,0.05403424540835502,0.11327117395566219,-0.05018053334348202,-0.45859152974894357,-0.09380140447595546,0.07049317761526237
RAB3IL1,-0.790208866903595,-0.43917578657232653,-0.21310181271674872,-0.31052775736772353,-0.3251953311915554,-0.07117766391349858
BEST1,-0.5535864942620682,-0.3615733935489299,-0.13087056743665243,0.33526026983789436,0.35703625756778856,0.08344336054308081
FTH1,-0.7236690291886795,-0.5904392075836032,-0.27592653836089126,0.1990610040028357,0.3565228303329344,0.2923796754974353
BSCL2,0.4219528138537022,0.4527690055256291,0.3333624209566781,0.5600697950135628,0.36755695030603747,0.16017912941501636
POLR2G,0.48761205764462845,0.49758967785179753,0.4702210894461822,-0.26801626400690587,-0.04678885656626482,-0.007921531344668671
SLC3A2,0.12155478898966467,0.15916632411814355,0.19398029700380626,-0.41950898210971904,-0.21788432584961737,0.028364591296637764
PLAAT5,0.17194118777024323,0.08544679397876252,-0.2602586569836937,NA,NA,NA
SPINDOC,-0.25024527812573655,-0.10642654737309902,0.0433453573065145,0.38580418788609044,0.35447771389464705,0.0036648619228912406
ATG16L2,0.3180103904956494,0.45011867916371334,0.2150692618023115,-0.7257991949184381,-0.6709924129550754,-0.7192482718832082
C2CD3,0.0508387936535433,0.011864935501075804,-0.08975342372783768,0.21518482399985875,0.32712894720490887,0.226785866156669
TRANK1,-0.2664024732912065,-0.0908179836688878,-0.16315881252052933,-0.22566821718071706,-0.49939714081377223,-0.3942701154776624
TTC21A,0.10659609614855584,0.2959861716676105,0.21476842963848713,-0.11005275913549506,0.17917189847655174,0.1181824442135105
RPSA,-0.10431758112791603,-0.01602171322354842,-0.07210487061825317,0.5684168034604515,0.3760245077396838,0.20011984809287658
ENTPD3,-0.06690386750943508,-0.06400539787418835,-0.3123975657561498,0.08295137124492677,0.4103851314106802,0.5407206049392266
CTNNB1,-0.19766776867313396,-0.3197551517574559,-0.46756706811488996,-0.20563685826575456,-0.09485570578827472,0.11551737378242798
ULK4,0.2650700721194791,0.1478951003162241,0.06544419743437317,0.21853018151473333,0.21482967487939642,0.26322865567462794
FADD,0.5009807221457298,0.3225323828213138,0.20359086298906987,-0.1760310719377145,-0.011442038570112726,0.10997061419431657
LTBP3,0.022185651305394762,0.1261954267232724,0.35411846450949686,-0.479420096831682,-0.4113510522975533,-0.27649633991673844
"NAALADL1",-0.3270167499474963,-0.12935460812299154,-0.016036301739235995,-0.3785958190765619,-0.2790128793233282,-0.26832511424847333
SAC3D1,-0.06978494141411015,0.1438266426902849,0.16583361095529028,0.1076634653318799,0.39264188917111825,0.270659388416746
BATF2,-0.451626791756904,-0.06690511645618157,0.016424599560574,-0.20135176406296554,-0.4015539541991654,-0.41729015482405324
SLC22A11,-0.09355165356034531,-0.23823820243346744,-0.14631006966860394,-0.25004752777087386,-0.1411268832395451,-0.002131025293957792
SF1,0.06514624370885497,0.18102584506705685,0.09867960320683242,-0.05223001729694661,-0.0433181272214769,-0.31816221884375767
MAP4K2,-0.185286528113904,-0.02062789208123649,0.08792824435578543,0.08925280684056294,0.28281452547934627,0.23818941257221884
MAJIN,-0.022100157243762915,0.07050117923410411,0.2111811904657012,-0.2700658785446795,-0.4208307600686843,-0.601393130948876
CCDC88B,-0.326991962653207,-0.3490958397159376,-0.24463045669423494,0.20715726597374562,0.3262144465980172,0.1966482386141347
SCARA3,-0.18390426665973322,0.04998772313151196,0.23363721508734392,-0.21895026842065138,-0.3056499531920217,-0.23756352641197298
PBK,-0.21621928110611083,-0.33022492526914127,-0.21909472950985484,0.5011955389449838,0.2994908502762516,0.24890192974325942
SCARA5,-0.3043583426160012,-0.4080558954632489,-0.19374830177435212,0.29672819740876694,0.512280347522384,0.4235733431167545
PNOC,-0.395399841634719,-0.22977366711165773,-0.19419908339352857,-0.18063521374232022,-0.33587183263736214,-0.1396893351033358
COPS6,0.04904360033539038,0.20531589140594053,-0.005058648672223943,-0.16282929821606446,0.14440344867984692,0.1019837045010569
PAFAH1B2,-0.26489579381252315,-0.5178278299901667,-0.45450580167233523,0.5800437202541906,0.23459492358701026,0.10389591913712636
ANKS3,0.315786736492067,0.21065547698650475,0.11165657114601264,-0.2171112934632778,0.14244042821361683,0.42955888630558936
NUDT16L1,0.5535720508595149,0.3839048265493476,0.22750624876492603,-5.374748775987008e-4,0.3660304948359373,0.23140558216077972
